Fecha,UTI total pais,UTI por dia,UTI total CABA,% UTI CABA,UTI total Buenos Aires,% UTI Buenos Aires
24/03/2020,22,,,,,
25/03/2020,25,,,,,
26/03/2020,33,8,,,,
27/03/2020,44,11,,,,
28/03/2020,53,9,,,,
29/03/2020,55,2,,,,
30/03/2020,55,0,,,,
31/03/2020,72,17,,,,
01/04/2020,82,10,,,,
02/04/2020,86,4,,,,
03/04/2020,87,1,,,,
04/04/2020,94,7,,,,
05/04/2020,96,2,35,"36,46",27,"28,13"
06/04/2020,98,2,35,"35,71",28,"28,57"
07/04/2020,98,0,36,"36,73",28,"28,57"
08/04/2020,107,9,38,"35,51",28,"26,17"
09/04/2020,115,8,52,"45,22",31,"26,96"
10/04/2020,114,-1,52,"45,61",38,"33,33"
11/04/2020,113,-1,53,"46,90",34,"30,09"
12/04/2020,116,3,54,"46,55",33,"28,45"
13/04/2020,117,1,56,"47,86",33,"28,21"
14/04/2020,121,4,55,"45,45",31,"25,62"
15/04/2020,126,5,54,"42,86",38,"30,16"
16/04/2020,127,1,55,"43,31",38,"29,92"
17/04/2020,123,-4,55,"44,72",40,"32,52"
18/04/2020,126,3,58,"46,03",40,"31,75"
19/04/2020,129,3,59,"45,74",42,"32,56"
20/04/2020,131,2,59,"45,04",40,"30,53"
21/04/2020,136,5,60,"44,12",42,"30,88"
22/04/2020,141,5,64,"45,39",44,"31,21"
23/04/2020,144,3,64,"44,44",48,"33,33"
24/04/2020,139,-5,64,"46,04",44,"31,65"
25/04/2020,151,12,63,"41,72",47,"31,13"
26/04/2020,155,4,63,"40,65",50,"32,26"
27/04/2020,154,-1,64,"41,56",50,"32,47"
28/04/2020,157,3,64,"40,76",53,"33,76"
29/04/2020,159,2,64,"40,25",57,"35,85"
30/04/2020,164,5,64,"39,02",58,"35,37"
01/05/2020,161,-3,64,"39,75",57,"35,40"
02/05/2020,146,-15,48,"32,88",58,"39,73"
03/05/2020,148,2,48,"32,43",60,"40,54"
04/05/2020,143,-5,48,"33,57",58,"40,56"
05/05/2020,151,8,50,"33,11",61,"40,40"
06/05/2020,155,4,51,"32,90",61,"39,35"
07/05/2020,157,2,56,"35,67",64,"40,76"
08/05/2020,160,3,59,"36,88",64,"40,00"
09/05/2020,164,4,58,"35,37",62,"37,80"
10/05/2020,170,6,62,"36,47",62,"36,47"
11/05/2020,147,-23,63,"42,86",38,"25,85"
12/05/2020,147,0,67,"45,58",41,"27,89"
13/05/2020,149,2,70,"46,98",40,"26,85"
14/05/2020,151,2,73,"48,34",40,"26,49"
15/05/2020,154,3,76,"49,35",40,"25,97"
16/05/2020,159,5,83,"52,20",40,"25,16"
17/05/2020,156,-3,81,"51,92",40,"25,64"
18/05/2020,161,5,83,"51,55",40,"24,84"
19/05/2020,171,10,98,"57,31",40,"23,39"
20/05/2020,172,1,98,"56,98",40,"23,26"
21/05/2020,173,1,102,"58,96",40,"23,12"
22/05/2020,181,8,102,"56,35",49,"27,07"
23/05/2020,181,0,120,"66,30",44,"24,31"
24/05/2020,203,22,123,"60,59",44,"21,67"
25/05/2020,250,47,127,"50,80",88,"35,20"
26/05/2020,254,4,135,"53,15",88,"34,65"
27/05/2020,259,5,140,"54,05",88,"33,98"
28/05/2020,244,-15,145,"59,43",78,"31,97"
29/05/2020,256,12,152,"59,38",86,"33,59"
30/05/2020,272,16,158,"58,09",86,"31,62"
31/05/2020,271,-1,159,"58,67",90,"33,21"
01/06/2020,288,17,159,"55,21",97,"33,68"
02/06/2020,293,5,107,"36,52",102,"34,81"
03/06/2020,248,-45,107,"43,15",108,"43,55"
04/06/2020,249,1,107,"42,97",109,"43,78"
05/06/2020,247,-2,110,"44,53",109,"44,13"
06/06/2020,253,6,110,"43,48",111,"43,87"
07/06/2020,265,12,118,"44,53",115,"43,40"
08/06/2020,263,-2,117,"44,49",116,"44,11"
09/06/2020,275,12,117,"42,55",126,"45,82"
10/06/2020,295,20,126,"42,71",134,"45,42"
11/06/2020,280,-15,114,"40,71",136,"48,57"
12/06/2020,293,13,115,"39,25",147,"50,17"
13/06/2020,316,23,129,"40,82",155,"49,05"
14/06/2020,324,8,135,"41,67",157,"48,46"
15/06/2020,345,21,143,"41,45",170,"49,28"
16/06/2020,353,8,143,"40,51",178,"50,42"
17/06/2020,360,7,146,"40,56",181,"50,28"
18/06/2020,364,4,151,"41,48",181,"49,73"
19/06/2020,381,17,153,"40,16",196,"51,44"
20/06/2020,397,16,163,"41,06",197,"49,62"
21/06/2020,414,17,172,"41,55",209,"50,48"
22/06/2020,433,19,179,"41,34",218,"50,35"
